budget,id,revenue,popularity,release_date,vote_count,release_year,profit,approxviews,review_rate,movieId,rating
55000000.0,2320,121969216.0,13.106291,1996-03-15,261.0,1996,66969216.0,27594845,9.458288314357265e-06,2320.0,3.111111111111111
0.0,7300,97529550.0,7.009946,1996-12-20,160.0,1996,97529550.0,22065509,7.251135697798768e-06,7300.0,3.561627906976744
7000000.0,275,60611975.0,12.61469,1996-04-05,2080.0,1996,53611975.0,13713116,0.00015167960367286327,275.0,2.728395061728395
4000000.0,8766,16675000.0,5.263187,1996-03-08,111.0,1996,12675000.0,3772624,2.9422492143399395e-05,8766.0,3.3076923076923075
30000000.0,1592,102616183.0,10.326213,1996-04-03,644.0,1996,72616183.0,23216330,2.7739095714094348e-05,1592.0,2.3415934755332497
0.0,2021,218626.0,1.523446,1995-06-02,10.0,1995,218626.0,50258,0.00019897329778343747,2021.0,3.3004085898897757
80000000.0,954,457696359.0,15.793477,1996-05-22,2677.0,1996,377696359.0,103551212,2.585194270830939e-05,954.0,3.988410348437266
57000000.0,8840,115267375.0,23.63659,1996-05-31,553.0,1996,58267375.0,26078591,2.120513336015738e-05,8840.0,3.21875
80000000.0,2300,250200000.0,11.054251,1996-11-15,1335.0,1996,170200000.0,56606334,2.3583933204365435e-05,2300.0,3.854337476857974
0.0,38867,62949.0,1.099187,1995-06-09,5.0,1995,62949.0,14471,0.00034551862345380416,38867.0,2.95
92000000.0,664,494471524.0,8.739144,1996-05-10,966.0,1996,402471524.0,111871385,8.634915890243068e-06,664.0,3.05
45000000.0,7095,58620973.0,6.287245,1996-08-09,340.0,1996,13620973.0,13262663,2.563587719902104e-05,7095.0,3.255656108597285
4000000.0,627,16491080.0,19.348466,1996-02-23,2737.0,1996,12491080.0,3731013,0.000733580933649923,627.0,3.5340733092410943
75000000.0,602,816969268.0,17.634197,1996-06-25,3334.0,1996,741969268.0,184834676,1.803774092692434e-05,602.0,3.997191011235955
40000000.0,1645,152266007.0,13.309013,1996-07-24,522.0,1996,112266007.0,34449322,1.5152692990590642e-05,1645.0,3.516589990241182
26000000.0,2925,116400000.0,10.177303,1996-09-20,172.0,1996,90400000.0,26334841,6.531271633650645e-06,2925.0,4.012613521695258
80000000.0,3595,309492681.0,8.772188,1996-11-08,482.0,1996,229492681.0,70020968,6.883652336825735e-06,3595.0,2.246153846153846
6000000.0,3573,22231658.0,6.593011,1996-08-02,152.0,1996,16231658.0,5029786,3.021997357342837e-05,3573.0,1.4628571428571429
6000000.0,47907,12643776.0,1.19589,1996-08-23,17.0,1996,6643776.0,2860582,5.942846595552933e-06,47907.0,3.513157894736842
2962051.0,549,3011195.0,4.797674,1996-08-09,97.0,1996,49144.0,681265,0.0001423821860803065,549.0,3.892929292929293
500000.0,88224,431326.0,1.143656,1996-01-22,9.0,1996,-68674.0,97585,9.222728903007634e-05,88224.0,3.25
28000000.0,1770,16900000.0,6.728199,1996-10-25,98.0,1996,-11100000.0,3823529,2.5630771991006213e-05,1770.0,2.8612334801762116
50000000.0,6346,22540359.0,3.998494,1996-10-11,62.0,1996,-27459641.0,5099628,1.2157749545653134e-05,6346.0,2.743801652892562
14500000.0,454,147298761.0,11.774061,1996-10-31,1406.0,1996,132798761.0,33325511,4.218990070399821e-05,454.0,3.501918859649123
44000000.0,819,165615285.0,9.198283,1996-10-18,729.0,1996,121615285.0,37469521,1.945581316611974e-05,819.0,3.359375
0.0,136311,1910.0,0.51063,1996-09-12,5.0,1996,1910.0,432,0.011574074074074073,136311.0,3.590909090909091
36000000.0,1630,20300385.0,9.178371,1996-10-12,257.0,1996,-15699615.0,4592847,5.595657769570813e-05,1630.0,2.625
27000000.0,409,231976425.0,15.564161,1996-11-14,559.0,1996,204976425.0,52483354,1.0650996123456591e-05,409.0,3.0412371134020617
0.0,145,3803298.0,8.558688,1996-05-13,213.0,1996,3803298.0,860474,0.00024753798487810207,145.0,3.2701955495616994
0.0,2212,1179002.0,6.122067,1997-01-31,104.0,1997,1179002.0,256863,0.00040488509438883763,2212.0,3.75524981897176
46000000.0,199,150000000.0,8.808497,1996-11-21,671.0,1996,104000000.0,33936651,1.9772133673414033e-05,199.0,3.7730042656916516
70000000.0,75,101371017.0,15.63424,1996-12-12,1544.0,1996,31371017.0,22934619,6.732180726438055e-05,75.0,2.459731543624161
14000000.0,4232,173046663.0,13.326443,1996-12-20,1520.0,1996,159046663.0,39150828,3.882421081873415e-05,4232.0,2.7155513666352498
0.0,2928,119718203.0,9.473162,1996-12-25,174.0,1996,119718203.0,27085566,6.424085802748224e-06,2928.0,3.324593128390597
55000000.0,8818,141047179.0,6.709803,1996-12-14,122.0,1996,86047179.0,31911126,3.823117993392022e-06,8818.0,2.65
55000000.0,34314,11466088.0,5.304043,1997-01-09,63.0,1997,-43533912.0,2498058,2.521959057796096e-05,34314.0,3.2941176470588234
55000000.0,8860,31987563.0,10.519481,1997-01-16,136.0,1997,-23012437.0,6968967,1.9515087386695904e-05,8860.0,3.0846750149075732
8000000.0,26306,589304.0,2.93818,1997-01-24,21.0,1997,-7410696.0,128388,0.00016356668847555846,26306.0,3.5201612903225805
0.0,784,5770254.0,13.947867,1996-05-05,46.0,1996,5770254.0,1305487,3.5235892812414064e-05,784.0,2.7018389048822042
0.0,1968,29481428.0,6.285574,1997-02-14,133.0,1997,29481428.0,6422969,2.0706934752448596e-05,1968.0,3.827552515876893
50000000.0,66,50068310.0,7.66124,1997-02-14,226.0,1997,68310.0,10908128,2.071849541919567e-05,66.0,2.159487776484284
15000000.0,638,3675201.0,8.449722,1997-01-15,572.0,1997,-11324799.0,800697,0.0007143775985172918,638.0,3.2848932676518885
45000000.0,1624,302710615.0,10.102471,1997-03-21,1456.0,1997,257710615.0,65950025,2.2077322942637247e-05,1624.0,3.0152963671128106
90000000.0,4477,140807547.0,10.675073,1997-03-12,300.0,1997,50807547.0,30677025,9.779305522618312e-06,4477.0,2.44250281848929
10000000.0,6499,17979739.0,5.436745,1997-03-27,60.0,1997,7979739.0,3917154,1.531724308005251e-05,6499.0,3.4186046511627906
16500000.0,816,67683989.0,11.749159,1997-05-02,1033.0,1997,51183989.0,14745967,7.005305247190639e-05,816.0,3.2531645569620253
36000000.0,2163,50159144.0,7.926621,1997-05-02,202.0,1997,14159144.0,10927918,1.8484765350545274e-05,2163.0,2.5010378827192525
90000000.0,18,263920180.0,24.30526,1997-05-07,3962.0,1997,173920180.0,57498949,6.890560730075258e-05,18.0,3.409031198686371
0.0,1811,27354.0,3.324489,1997-05-09,27.0,1997,27354.0,5959,0.004530961570733344,1811.0,3.221590909090909
0.0,2058,34673095.0,8.085194,1997-05-23,112.0,1997,34673095.0,7554051,1.4826481843980138e-05,2058.0,3.5833823529411766
73000000.0,330,229074524.0,0.788123,1997-05-23,2528.0,1997,156074524.0,49907303,5.065390930862363e-05,330.0,2.811367895065584
75000000.0,1701,224012234.0,11.545982,1997-06-01,1289.0,1997,149012234.0,48804408,2.6411548727319877e-05,1701.0,3.4679160419790107
160000000.0,1639,164508066.0,11.268531,1997-06-13,439.0,1997,4508066.0,35840537,1.224870040312175e-05,1639.0,3.6072096794312087
0.0,107743,44000.0,0.886134,1996-10-18,2.0,1996,44000.0,9954,0.00020092425155716296,107743.0,3.676470588235294
125000000.0,415,238207122.0,17.038824,1997-06-20,1447.0,1997,113207122.0,51896976,2.7882164078307763e-05,415.0,2.8146577831617203
38000000.0,8874,299288605.0,4.678572,1997-06-19,606.0,1997,261288605.0,65204489,9.293838649667203e-06,8874.0,3.8845747049654866
80000000.0,754,245676146.0,11.467391,1997-06-27,1612.0,1997,165676146.0,53524214,3.0117210128485026e-05,754.0,2.9398976982097187
90000000.0,607,589390539.0,15.781024,1997-07-02,4521.0,1997,499390539.0,128407524,3.5208217238111376e-05,607.0,2.8125
50000000.0,4421,48169156.0,9.37934,1997-08-22,404.0,1997,-1830844.0,10494369,3.84968357792641e-05,4421.0,2.5
15000000.0,2142,44862187.0,9.15931,1997-08-15,384.0,1997,29862187.0,9773896,3.928832473764812e-05,2142.0,3.038054538054538
75000000.0,8834,136982834.0,14.261798,1997-08-07,440.0,1997,61982834.0,29843754,1.4743453521296282e-05,8834.0,2.230769230769231
16000000.0,8854,1686429.0,2.890462,1997-08-15,49.0,1997,-14313571.0,367413,0.0001333649054333951,8854.0,2.9710743801652892
30000000.0,4961,25480490.0,9.128905,1997-08-22,255.0,1997,-4519510.0,5551305,4.593514497942376e-05,4961.0,3.2031802120141344
20000000.0,6072,5716080.0,6.476493,1997-07-29,141.0,1997,-14283920.0,1245333,0.00011322272837867462,6072.0,3.492857142857143
35000000.0,2118,126216940.0,10.989442,1997-09-19,1340.0,1997,91216940.0,27498244,4.873038438381738e-05,2118.0,3.647679324894515
50000000.0,2649,109423648.0,14.825587,1997-09-12,1556.0,1997,59423648.0,23839574,6.52696226870497e-05,2649.0,3.25625
250000.0,2255,12021272.0,12.311564,1997-04-04,441.0,1997,11771272.0,2619013,0.0001683840439127259,2255.0,2.6197604790419162
17000000.0,3597,125586134.0,7.417157,1997-10-17,698.0,1997,108586134.0,27360813,2.5510937851152303e-05,3597.0,2.5790697674418603
36000000.0,782,12532777.0,12.89312,1997-09-07,1846.0,1997,-23467223.0,2730452,0.0006760785393773632,782.0,2.8785786460087572
18000000.0,1281,251212670.0,12.799853,1997-07-03,602.0,1997,233212670.0,54730429,1.099936563625328e-05,1281.0,4.048314846416382
15000000.0,4995,43101594.0,7.595679,1997-09-11,812.0,1997,28101594.0,9390325,8.647198046925958e-05,4995.0,3.95701895277867
105000000.0,563,121214377.0,14.412644,1997-11-06,1584.0,1997,16214377.0,26408361,5.9981003743473515e-05,563.0,3.4529085872576175
60000000.0,4824,159330280.0,11.131917,1997-11-14,536.0,1997,99330280.0,34712479,1.544113285599683e-05,4824.0,3.6178861788617884
20000000.0,2639,10686841.0,6.280515,1997-08-26,188.0,1997,-9313159.0,2328287,8.074605922723445e-05,2639.0,3.1477623456790123
10000000.0,489,225933435.0,15.064833,1997-12-05,2880.0,1997,215933435.0,49222970,5.850926914812332e-05,489.0,2.760492268854528
35000000.0,8197,25105255.0,5.145907,1997-11-21,161.0,1997,-9894745.0,5469554,2.9435672451538096e-05,8197.0,3.885689354275742
38000000.0,6283,122417389.0,6.456233,1997-12-19,297.0,1997,84417389.0,26670455,1.1135918003648607e-05,6283.0,3.8806717737183263
24000000.0,4233,172363301.0,11.264845,1997-12-09,856.0,1997,148363301.0,37551917,2.279510790354591e-05,4233.0,2.4748641304347827
200000000.0,597,1845034188.0,26.88907,1997-11-18,7770.0,1997,1645034188.0,401968232,1.9329885750772466e-05,597.0,3.429514770752573
110000000.0,714,333011068.0,17.159576,1997-12-11,941.0,1997,223011068.0,72551430,1.297010961741209e-05,714.0,3.89378489924739
60000000.0,547,186883563.0,7.685548,1998-05-14,296.0,1998,126883563.0,39847241,7.428368754564463e-06,547.0,2.8226371061843643
12000000.0,184,39673162.0,16.415498,1997-12-24,1580.0,1997,27673162.0,8643390,0.00018279864729001005,184.0,3.1028985507246376
15000000.0,115,46189568.0,15.952524,1998-03-06,3001.0,1998,31189568.0,9848521,0.00030471580453552365,115.0,3.38
0.0,26941,2465960.0,1.426289,1997-12-26,5.0,1997,2465960.0,537246,9.306723549361e-06,26941.0,3.7916666666666665
15000000.0,586,64256513.0,7.603652,1997-12-25,273.0,1997,49256513.0,13999240,1.9501058628896997e-05,586.0,3.1193118580468724
27000000.0,2666,27200316.0,12.851984,1998-02-27,838.0,1998,200316.0,5799640,0.00014449172707271487,2666.0,2.8043478260869565
25000000.0,6116,100000000.0,4.257516,1997-12-19,124.0,1997,75000000.0,21786492,5.691600097895522e-06,6116.0,2.697058823529412
50000000.0,2898,314178011.0,9.374049,1997-12-19,946.0,1997,264178011.0,68448368,1.3820636307939439e-05,2898.0,2.799864314789688
